id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
299,Ander,Herrera,14,1,3,2,2,39,669,14,87.6,247.8,141.0,6,167,47.8,0,0,1,0.9,50
300,Jesse,Lingard,14,1,3,4,2,55,896,15,180.9,242.4,258.0,5,184,68.2,1,0,1,7.4,68
301,Anthony,Martial,14,1,3,8,1,77,880,16,283.2,359.0,387.0,11,245,102.9,1,0,1,10.6,74
302,Paul,Pogba,14,1,3,5,6,79,1314,20,350.6,506.2,553.0,8,280,141.3,3,0,2,15.8,80
303,Scott,McTominay,14,1,3,0,0,8,251,8,9.1,40.6,37.0,0,40,8.7,0,0,0,0.6,42
304,Frederico,Rodrigues de Paula Santos,14,1,3,1,0,22,563,10,124.7,117.0,65.0,3,92,30.7,1,0,2,1.3,55
305,Marcus,Rashford,14,1,4,4,5,56,1011,16,263.5,309.0,380.0,3,189,95.0,2,1,2,17.8,72
306,Romelu,Lukaku,14,1,4,6,1,61,1183,25,207.7,284.8,548.0,8,186,104.2,2,0,2,4.0,107
481,Andreas,Pereira,14,1,3,0,0,4,159,5,8.9,31.6,16.0,0,30,5.7,0,0,2,0.2,45
520,Lee,Grant,14,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
568,Angel,Gomes,14,1,3,0,0,1,9,1,0.3,5.2,17.0,0,3,2.3,0,0,0,0.0,50
307,Robert,Elliot,15,4,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43
308,Karl,Darlow,15,4,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
309,Martin,Dubravka,15,4,1,0,0,72,1710,26,0.0,450.4,0.0,7,347,44.9,6,0,0,0.6,50
310,DeAndre,Yedlin,15,4,2,1,1,36,1401,26,216.1,262.0,65.0,1,189,54.4,3,1,3,1.1,45
311,Ciaran,Clark,15,4,2,2,0,34,767,13,24.4,251.2,88.0,3,167,36.6,2,0,1,0.2,45
312,Jamaal,Lascelles,15,4,2,0,0,45,1260,17,15.7,317.2,68.0,5,252,40.3,5,0,1,3.2,47
313,Paul,Dummett,15,4,2,0,0,42,1081,14,73.8,217.8,31.0,3,208,32.3,5,0,0,0.2,44
314,Florian,Lejeune,15,4,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
315,Javier,Manquillo,15,4,2,0,1,24,543,8,45.5,113.8,7.0,3,110,16.7,2,0,1,0.4,43
316,Chancel,Mbemba,15,4,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
317,Matt,Ritchie,15,4,3,0,2,38,1286,19,397.8,197.8,240.0,0,164,83.4,5,0,5,0.4,58
318,Jonjo,Shelvey,15,4,3,0,1,22,700,9,257.2,154.2,105.0,0,110,51.7,3,0,0,0.4,53
319,Mohamed,Diamé,15,4,3,0,0,41,1684,26,62.4,223.4,130.0,0,137,41.8,6,0,3,0.1,49
320,Christian,Atsu,15,4,3,0,0,17,571,7,135.9,103.4,139.0,0,52,37.8,2,0,2,0.1,51
321,Jacob,Murphy,15,4,3,0,1,15,288,8,30.0,53.6,22.0,0,47,10.6,1,0,0,0.0,47
322,Mikel,Merino,15,4,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
323,Isaac,Hayden,15,4,3,0,0,5,235,6,13.4,45.6,6.0,0,29,6.5,0,1,0,0.1,43
324,Sung-yueng,Ki,15,4,3,0,1,25,844,12,212.5,123.8,25.0,1,139,36.1,2,0,1,0.1,47
325,Dwight,Gayle,15,4,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60
326,Ayoze,Pérez,15,4,4,2,1,50,1332,18,319.9,265.4,298.0,6,182,88.4,5,0,0,1.2,61
327,Jose Luis,Mato Sanmartín,15,4,4,2,0,28,577,15,35.6,116.2,288.0,3,80,43.9,1,0,1,2.8,48
458,Robert Kenedy,Nunes do Nascimento,15,4,3,1,1,42,1185,14,139.2,188.2,272.0,1,134,59.9,6,0,1,1.0,49
482,Fabian,Schär,15,4,2,0,0,17,663,7,29.0,214.0,58.0,0,120,30.1,2,0,5,0.1,46
488,Yoshinori,Muto,15,4,4,1,0,19,450,9,44.7,62.0,132.0,0,50,23.4,1,0,0,0.1,56
493,Salomón,Rondón,15,4,4,4,2,51,898,9,60.3,199.4,396.0,7,141,65.2,4,0,1,3.0,58
516,Federico,Fernández,15,4,2,0,2,41,1215,21,41.9,301.8,66.0,5,238,41.0,3,0,2,0.4,44
530,Jamie,Sterry,15,4,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
531,Sean,Longstaff,15,4,3,0,0,1,17,2,0.4,4.4,7.0,0,4,1.2,0,0,0,0.0,45
553,Frederick,Woodman,15,4,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
258,Danny,Ings,16,20,4,7,1,65,954,17,185.1,336.2,549.0,11,237,107.0,3,0,1,8.7,56
328,Alex,McCarthy,16,20,1,0,0,57,1620,33,0.0,437.8,0.0,5,316,43.9,4,0,1,3.1,45
329,Fraser,Forster,16,20,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,43
330,Ryan,Bertrand,16,20,2,1,0,33,1080,21,251.0,207.0,85.0,1,171,54.2,4,0,5,2.4,48
331,Maya,Yoshida,16,20,2,0,0,9,630,15,33.8,125.0,65.0,0,95,22.4,0,0,0,0.9,41
332,Cédric,Soares,16,20,2,1,2,44,1315,29,207.8,279.4,103.0,7,236,59.1,3,0,4,3.7,43
333,Jack,Stephens,16,20,2,0,0,21,686,14,56.7,152.2,77.0,1,133,28.6,3,0,2,0.2,42
334,Sam,McQueen,16,20,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40
335,Jan,Bednarek,16,20,2,0,0,6,350,5,1.2,112.8,0.0,0,52,11.5,0,0,1,4.3,39
336,Wesley,Hoedt,16,20,2,0,0,29,1170,24,20.0,283.6,41.0,3,206,34.7,4,0,2,0.3,43
337,Steven,Davis,16,20,3,0,1,9,97,4,41.6,38.8,2.0,2,39,8.2,0,0,0,0.1,46
338,James,Ward-Prowse,16,20,3,0,0,9,297,12,189.6,64.8,77.0,0,49,33.1,0,0,1,0.2,50
339,Oriol,Romeu Vidal,16,20,3,0,0,15,621,12,47.2,119.0,25.0,0,66,19.2,2,0,4,1.6,43
340,Pierre-Emile,Højbjerg,16,20,3,2,1,41,1333,31,213.6,305.0,239.0,4,236,76.1,2,1,5,3.4,44
341,Sofiane,Boufal,16,20,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
342,Joshua,Sims,16,20,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
343,Nathan,Redmond,16,20,3,1,2,54,1573,32,421.5,265.8,373.0,3,209,106.0,4,0,0,0.6,52
344,Mario,Lemina,16,20,3,0,2,37,1346,27,162.5,231.6,170.0,1,204,56.5,4,0,5,0.2,48
345,Stuart,Armstrong,16,20,3,3,0,37,722,16,205.6,192.0,149.0,2,143,54.6,1,0,2,0.8,51
346,Mohamed,Elyounoussi,16,20,3,0,0,20,544,3,202.6,76.4,167.0,0,64,44.6,4,0,0,0.1,61
347,Shane,Long,16,20,4,0,1,17,484,12,80.6,60.8,157.0,0,39,30.0,1,0,1,1.0,47
348,Charlie,Austin,16,20,4,2,0,26,633,8,66.0,116.6,272.0,1,76,45.1,4,0,0,0.5,55
349,Manolo,Gabbiadini,16,20,4,1,0,23,468,12,72.7,74.4,167.0,3,56,30.8,0,0,0,0.2,56
350,Guido,Carrillo,16,20,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
452,Angus,Gunn,16,20,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
463,Jannik,Vestergaard,16,20,2,0,0,20,900,15,55.5,233.2,39.0,0,169,32.8,2,0,2,0.2,46
479,Matt,Targett,16,20,2,0,2,15,521,13,204.1,135.2,41.0,1,107,38.0,0,0,0,0.3,42
550,Michael,Obafemi,16,20,4,1,1,12,115,3,27.4,62.6,127.0,0,42,21.6,0,0,1,0.0,50
556,Yan,Valery,16,20,2,0,0,3,303,5,18.8,30.2,10.0,0,18,5.5,0,0,2,0.1,40
562,Tyreke,Johnson,16,20,3,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45
565,Kayne,Ramsay,16,20,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
351,Hugo,Lloris,17,6,1,0,0,68,1350,13,0.0,367.4,0.0,5,319,36.8,7,0,0,4.7,54
352,Michel,Vorm,17,6,1,0,0,5,180,4,0.0,66.8,0.0,1,36,6.6,0,0,0,0.1,48
353,Toby,Alderweireld,17,6,2,0,0,66,1520,13,41.7,352.0,113.0,5,369,50.5,8,0,1,4.1,60
354,Danny,Rose,17,6,2,0,2,43,717,4,122.9,120.0,61.0,2,159,30.3,5,0,2,0.9,58
355,Jan,Vertonghen,17,6,2,1,0,28,759,11,34.3,211.8,62.0,4,157,30.7,2,1,0,4.1,59
356,Ben,Davies,17,6,2,0,0,41,1085,14,187.9,233.0,85.0,4,214,50.7,4,0,1,2.6,56
357,Kieran,Trippier,17,6,2,1,5,74,1174,11,399.2,338.8,79.0,8,330,81.7,6,0,2,18.8,61
358,Kyle,Walker-Peters,17,6,2,0,3,19,102,0,35.3,61.2,9.0,3,55,10.5,1,0,0,0.8,42
359,Davinson,Sánchez,17,6,2,0,2,36,703,7,14.7,179.8,63.0,4,183,25.8,3,0,1,1.4,58
360,Serge,Aurier,17,6,2,0,2,22,427,6,86.6,110.0,14.0,0,88,21.1,2,0,1,0.6,58
361,Eric,Dier,17,6,3,2,0,39,1117,12,113.8,239.0,74.0,1,190,42.8,5,0,3,1.3,48
362,Mousa,Dembélé,17,6,3,0,0,14,512,6,17.5,51.0,1.0,0,74,7.1,1,0,1,0.8,49
363,Erik,Lamela,17,6,3,4,2,49,562,6,164.4,211.6,313.0,4,145,68.7,3,0,0,0.5,62
364,Christian,Eriksen,17,6,3,3,7,71,1060,16,412.6,364.4,213.0,6,296,99.2,3,0,1,5.9,93
365,Bamidele,Alli,17,6,3,4,2,57,866,12,162.8,286.6,362.0,6,205,81.2,4,0,1,3.0,89
366,Victor,Wanyama,17,6,3,0,0,6,147,0,7.3,23.0,21.0,0,25,5.1,1,0,0,0.0,49
367,Heung-Min,Son,17,6,3,7,5,86,822,7,192.7,367.0,446.0,8,269,100.4,6,0,1,13.5,87
368,Harry,Winks,17,6,3,0,0,24,797,7,74.8,101.6,9.0,0,119,18.5,4,0,4,0.1,55
369,Moussa,Sissoko,17,6,3,0,1,37,1081,12,165.8,150.6,87.0,2,176,40.1,6,0,0,0.3,49
370,Lucas,Rodrigues Moura da Silva,17,6,3,6,2,83,1313,9,261.3,345.4,393.0,5,210,99.8,10,0,2,8.7,69
371,Fernando,Llorente,17,6,4,0,0,4,23,0,12.5,2.4,8.0,0,11,2.2,0,0,0,0.2,56
372,Harry,Kane,17,6,4,12,5,112,1613,18,258.7,585.2,860.0,15,410,170.4,7,0,3,31.2,125
497,Georges-Kévin,Nkoudou,17,6,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48
523,Luke,Amos,17,6,3,0,0,1,2,0,0.1,2.2,0.0,0,3,0.2,0,0,0,0.1,43
536,Paulo,Gazzaniga,17,6,1,0,0,10,180,1,0.0,55.6,0.0,0,48,5.5,1,0,0,0.0,45
538,Alfie,Whiteman,17,6,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
540,Oliver,Skipp,17,6,3,0,0,6,101,1,14.3,19.8,4.0,0,22,3.9,1,0,0,0.0,45
549,Juan,Foyth,17,6,2,1,0,25,540,8,3.8,167.2,40.0,3,110,21.2,2,0,1,0.4,50
561,Timothy,Eyoma,17,6,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
373,Heurelho,Gomes,18,57,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43
374,Pontus,Dahlberg,18,57,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
375,Younes,Kaboul,18,57,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
376,Craig,Cathcart,18,57,2,1,0,50,1701,27,17.5,344.4,145.0,3,293,50.9,4,0,1,0.9,45
377,Sebastian,Prödl,18,57,2,0,0,1,13,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.1,42
378,José,Holebas,18,57,2,3,5,63,1433,24,397.6,433.4,111.0,6,295,94.3,2,0,7,12.7,47
379,Miguel,Britos,18,57,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
380,Christian,Kabasele,18,57,2,0,0,22,1041,18,12.6,225.8,169.0,0,122,40.7,2,1,1,0.3,44
381,Daryl,Janmaat,18,57,2,0,1,20,521,6,93.5,125.8,30.0,4,105,25.1,1,0,2,0.3,49
382,Adrian,Mariappa,18,57,2,0,0,23,652,10,12.9,105.6,30.0,0,119,14.8,2,0,0,0.2,42
383,Francisco,Femenía Far,18,57,2,0,1,39,1134,20,116.9,213.2,27.0,3,231,35.6,3,0,0,1.8,42
384,Marvin,Zeegelaar,18,57,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
385,Marc,Navarro,18,57,2,0,0,1,83,2,5.3,15.0,2.0,0,8,2.2,0,0,0,0.1,43
386,Adam,Masina,18,57,2,0,1,17,276,3,43.1,70.8,2.0,1,76,11.6,2,0,1,0.1,43
